Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,930101927,1001375786,24E10FJALF,10.05.24,816,UN,,523
P109,I93,930101927,1001377870,24E11FJALE,11.05.24,816,UN,,522
P109,I93,930101927,1001363304,24E08FJALD,08.05.24,768,UN,,525
P109,I93,930101928,1001377328,24E23FJHLF,23.05.24,768,UN,,510
P109,I93,920100668,1001615558,25J10GJAED,10.10.25,750,UN,,5
P109,I93,930101927,1001375784,24E10FJALA,10.05.24,720,UN,,523
P109,I93,930101927,1001375788,24E10FJALH,10.05.24,720,UN,,523
P109,I93,930101928,1001379106,24E24FJHLD,24.05.24,672,UN,,509
P109,I93,930101928,1001377919,24E13FJHLE,13.05.24,624,UN,,520
P109,I93,930101926,1001438828,25A07FJNLC,07.01.25,576,UN,,281
P109,I93,930101926,1001383745,24F17FJNLA,17.06.24,532,UN,,485
P109,I93,930101927,1001324902,24C09FJALA,09.03.24,528,UN,,585
P109,I93,930101927,1001375782,24E09FJALE,09.05.24,528,UN,,524
P109,I93,920100669,1001615611,25J11GJIEB,11.10.25,480,UN,,4
P109,I93,930102055,1001504261,25C20AJAEB,20.03.25,436,UN,,209
P109,I93,930101928,1001369862,24E14FJHLD,14.05.24,432,UN,,519
P109,I93,930101927,1001375785,24E10FJALE,10.05.24,432,UN,,523
P109,I93,930101927,1001377871,24E11FJALF,11.05.24,432,UN,,522
P109,I93,930101928,1001379107,24E24FJHLE,24.05.24,432,UN,,509
P109,I93,930101926,1001439751,25A09FJNLA,09.01.25,432,UN,,279
P109,I93,930101927,1001375780,24E09FJALA,09.05.24,384,UN,,524
P109,I93,930101928,1001379112,24E23FJHLC,23.05.24,384,UN,,510
P109,I93,930101926,1001388240,24F19FJNLB,19.06.24,384,UN,,483
P109,I93,930101928,1001369861,24E14FJHLC,14.05.24,336,UN,,519
P109,I93,930101928,1001369864,24E14FJHLG,14.05.24,336,UN,,519
P109,I93,930101926,1001389384,24F17FJNLA,17.06.24,336,UN,,485
P109,I93,930101928,1001369863,24E14FJHLF,14.05.24,288,UN,,519
P109,I93,930101927,1001375781,24E09FJALC,09.05.24,288,UN,,524
P109,I93,930101927,1001377333,24E06FJALB,06.05.24,288,UN,,527
P109,I93,930101928,1001379103,24E25FJHLE,25.05.24,288,UN,,508
P109,I93,930101927,1001378453,24E09FJALB,09.05.24,276,UN,,524
P109,I93,930101927,1001375789,24E10FJALG,10.05.24,240,UN,,523
P109,I93,930101928,1001379109,24E24FJHLC,24.05.24,240,UN,,509
P109,I93,930101928,1001379110,24E24FJHLB,24.05.24,192,UN,,509
P109,I93,930101928,1001379114,24E23FJHLE,23.05.24,192,UN,,510
P109,I93,930101926,1001388243,24F19FJNLF,19.06.24,192,UN,,483
P109,I93,930101928,1001369860,24E14FJHLB,14.05.24,144,UN,,519
P109,I93,930101927,1001377334,24E06FJALC,06.05.24,144,UN,,527
P109,I93,930101927,1001377335,24E06FJALD,06.05.24,144,UN,,527
P109,I93,930101927,1001377872,24E11FJALB,11.05.24,144,UN,,522
P109,I93,930101927,1001377873,24E11FJALA,11.05.24,144,UN,,522
P109,I93,930101927,1001377876,24E11FJALD,11.05.24,144,UN,,522
P109,I93,930101928,1001377918,24E13FJHLB,13.05.24,144,UN,,520
P109,I93,930101927,1001378460,24E10FJALH,10.05.24,144,UN,,523
P109,I93,930101928,1001379111,24E24FJHLA,24.05.24,144,UN,,509
P109,I93,930101926,1001388241,24F19FJNLC,19.06.24,144,UN,,483
P109,I93,930101926,1001388242,24F19FJNLD,19.06.24,144,UN,,483
P109,I93,930101926,1001388262,24F25FJNLA,25.06.24,144,UN,,477
P109,I93,930101926,1001388266,24F25FJNLF,25.06.24,144,UN,,477
P109,I93,930101926,1001438048,25A09FJNLG,09.01.25,126,UN,,279
P109,I93,930101927,1001378458,24E07FJALF,07.05.24,122,UN,,526
P109,I93,930101928,1001453282,25A27FJHLF,27.01.25,99,UN,,261
P109,I93,930101927,1001375790,24E10FJALC,10.05.24,96,UN,,523
P109,I93,930101928,1001377907,24E13FJHLA,13.05.24,96,UN,,520
P109,I93,930101927,1001378464,24E06FJALB,06.05.24,96,UN,,527
P109,I93,930101928,1001379104,24E25FJHLA,25.05.24,96,UN,,508
P109,I93,930101928,1001379105,24E25FJHLC,25.05.24,96,UN,,508
P109,I93,930101926,1001388246,24F21FJNLA,21.06.24,96,UN,,481
P109,I93,930101926,1001388247,24F21FJNLC,21.06.24,96,UN,,481
P109,I93,930101926,1001388264,24F25FJNLD,25.06.24,96,UN,,477
P109,I93,930101927,1001382078,24E11FJALC,11.05.24,69,UN,,522
P109,I93,930101928,1001381436,24E14FJHLB,14.05.24,64,UN,,519
P109,I93,930101927,1001378456,24E09FJALA,09.05.24,60,UN,,524
P109,I93,930101928,1001377920,24E13FJHLD,13.05.24,48,UN,,520
P109,I93,930101927,1001378448,24E08FJALA,08.05.24,48,UN,,525
P109,I93,930101927,1001378461,24E10FJALD,10.05.24,48,UN,,523
P109,I93,930101927,1001378462,24E10FJALF,10.05.24,48,UN,,523
P109,I93,930101927,1001378463,24E10FJALE,10.05.24,48,UN,,523
